iter	RMSE
249	258.3941996
250	258.2824619
251	257.5815546
252	256.6209891
253	256.551769
254	256.5165779
255	256.0265752
256	255.3942129
257	255.0258221
258	254.3975336
259	254.3148461
260	253.4896509
261	253.4170307
262	253.0787949
263	251.9196903
264	251.4343096
265	250.482107
266	250.4110204
267	249.2567298
268	248.4185151
269	248.346139
270	247.5226765
271	247.455656
272	247.040974
273	246.2667014
274	246.2093506
275	245.3796716
276	244.3499812
277	244.3169436
278	244.2720358
279	243.4474749
280	242.8149155
281	242.7505656
282	241.7499537
283	241.6906257
284	241.1118984
285	239.9211016
286	239.1987618
287	239.1263068
288	238.4775226
289	238.4144852
290	238.3602443
291	237.8558463
292	237.4153315
293	237.3063849
294	236.2388559
295	235.5167435
296	235.1020228
297	234.6069927
298	233.7834511
299	232.8760549
300	232.4823993
301	232.4046529
302	232.2790384
303	231.7049121
304	231.6396513
305	230.6937845
306	229.7601231
307	229.4397742
308	229.3827286
309	228.3909326
310	228.3372062
311	228.1077177
312	227.2769369
313	226.8310287
314	226.7831519
315	226.7313529
316	226.6805897
317	225.7462628
318	225.4767472
319	225.1093161
320	224.662605
321	223.8719901
322	223.1240793
323	222.2758218
324	221.8247167
325	221.4033196
326	220.7833616
327	220.1096005
328	220.0606155
329	219.3106382
330	219.1145652
331	218.4789906
332	217.6153983
333	216.8225537
334	216.7746492
335	216.2842499
336	215.4590512
337	215.4117699
338	215.2599342
339	214.3289333
340	213.7290067
341	213.3870201
342	212.6583906
343	211.9988578
344	211.7099897
345	210.9083357
346	210.1907075
347	209.4734474
348	209.408447
349	209.1174069
350	209.067806
351	209.0231528
352	208.7065322
353	208.228321
354	207.9006792
355	207.4112161
356	207.1514036
357	206.7241637
358	206.0933827
359	205.5079752
360	205.1925423
361	204.4679599
362	204.4260604
363	204.1650873
364	204.0997639
365	204.0594387
366	203.4648181
367	203.4251545
368	203.2208294
369	202.6314329
370	201.7618094
371	201.7154314
372	200.9244078
373	200.4327636
374	200.0831094
375	199.9314454
376	199.4690785
377	199.1544868
378	198.4736842
379	198.1315644
380	198.0935993
381	197.8157988
382	197.767813
383	197.7312976
384	197.6867019
385	197.6514662
386	197.0399757
387	197.0060351
388	196.9884999
389	196.5046509
390	196.2177231
391	195.7463459
392	195.703631
393	195.3848575
394	195.3477665
395	195.3131766
396	194.4970201
397	194.1407962
398	194.0530999
399	193.301547
400	192.8529099
401	192.5577355
402	192.0336005
403	191.4026537
404	190.7143484
405	190.1214069
406	189.8237461
407	189.4528238
408	189.4096039
409	189.3555876
410	188.6647444
411	188.3476735
412	187.8993746
413	187.860883
414	187.8305475
415	187.7688767
416	187.131893
417	186.9874731
418	186.6961582
419	186.2475586
420	185.6387306
421	185.1744737
422	184.8468024
423	184.7816808
424	184.7580667
425	184.1568409
426	184.1060811
427	183.7034076
428	183.6744693
429	183.6374758
430	183.0168784
431	182.6194803
432	182.3593501
433	182.3313144
434	182.2973545
435	181.8816563
436	181.6992381
437	181.1802764
438	180.9545129
439	180.91315
440	180.4103028
441	180.1283438
442	179.8156541
443	179.6559454
444	179.4934537
445	179.2184779
446	179.1908452
447	179.0012803
448	178.9763374
449	178.9485756
450	178.9226889
451	178.3699179
452	178.3459334
453	177.7466956
454	177.617167
455	177.4002932
456	176.9052062
457	176.3869722
458	176.0434939
459	175.7634437
460	175.2350259
461	175.2082999
462	174.888637
463	174.7260328
464	174.6812428
465	174.4400379
466	173.8847654
467	173.8031544
468	173.4356375
469	173.1820515
470	172.9846156
471	172.7002678
472	172.4903227
473	171.9162359
474	171.6182158
475	171.0851023
476	170.3704088
477	169.860537
478	169.6622257
479	169.6266903
480	169.3306574
481	168.8341678
482	168.4075184
483	167.9577149
484	167.9251543
485	167.7232108
486	167.6905725
487	167.534309
488	166.9571204
489	166.4894464
490	166.0586867
491	165.448336
492	165.0103613
493	164.9782689
494	164.5357408
495	164.4781044
496	164.3679307
497	163.9403857
498	163.4178636
499	163.2730745
500	162.5230506
501	162.4310097
502	162.3997518
503	162.3688691
504	162.1230264
505	162.0927333
506	161.6933037
507	161.2135731
508	160.856981
509	160.8298194
510	160.5351576
511	160.5036489
512	160.469557
513	160.2975161
514	160.1478986
515	159.5750597
516	158.9664763
517	158.6464196
518	158.6112176
519	158.0366427
520	157.5649315
521	157.5071709
522	157.3901136
523	156.8373622
524	156.3908662
525	155.9030087
526	155.8380457
527	155.3924612
528	154.9571984
529	154.9288819
530	154.850886
531	154.4344337
532	154.4056393
533	154.3807142
534	154.0029874
535	153.8135207
536	153.3857684
537	153.1842084
538	153.1599019
539	153.0067572
540	152.5458403
541	152.0951468
542	151.9834468
543	151.7866649
544	151.7686528
545	151.4640371
546	151.3416469
547	150.9332405
548	150.6447081
549	150.6045002
550	149.8783257
551	149.7598596
552	149.1951184
553	149.1771572
554	149.1147422
555	148.998798
556	148.4851076
557	148.3359707
558	148.2461368
559	147.7857899
560	147.6294191
561	147.5990364
562	147.1988419
563	146.7737805
564	146.6820911
565	146.5768777
566	146.4665427
567	146.4475237
568	146.2992501
569	145.9330823
570	145.5347037
571	145.5070414
572	145.4216533
573	145.027511
574	144.6107303
575	144.2251422
576	144.0202733
577	143.9488079
578	143.7509795
579	143.5910251
580	143.4949519
581	143.0904062
582	142.5491342
583	142.4066115
584	142.2183311
585	142.1041188
586	141.7264311
587	141.3732426
588	140.8926062
589	140.7524476
590	140.5756471
591	140.4354517
592	140.3630523
593	140.2960074
594	139.943813
595	139.8696614
596	139.5716302
597	139.2044265
598	139.1679548
599	138.820103
600	138.7951776
601	138.4603981
602	138.2980471
603	137.8915138
604	137.4360851
605	136.9446034
606	136.8639941
607	136.7802909
608	136.4772842
609	136.4336337
610	136.3212841
611	136.044601
612	135.8953774
613	135.5409687
614	135.1310448
615	135.0944346
616	134.7526858
617	134.4603208
618	134.4264462
619	134.4069417
620	134.2837012
621	134.1502015
622	133.6884622
623	133.6540582
624	133.5613831
625	133.1646941
626	132.967713
627	132.6819265
628	132.6165532
629	132.3059015
630	131.953692
631	131.8732688
632	131.8048204
633	131.6640528
634	131.0959462
635	130.9719699
636	130.6334093
637	130.2155008
638	129.8223939
639	129.7357893
640	129.6712214
641	129.5875709
642	129.4470395
643	129.3181123
644	129.1492463
645	128.9881409
646	128.8894913
647	128.7454436
648	128.4468909
649	128.3009764
650	128.0427537
651	127.8981274
652	127.4705484
653	127.4450903
654	127.161282
655	126.7614095
656	126.5085714
657	126.3676226
658	126.2234376
659	126.1886043
660	125.9022579
661	125.5574033
662	125.4101974
663	125.0920849
664	124.7010706
665	124.6283511
666	124.235261
667	123.8636888
668	123.5664479
669	123.4288106
670	123.3988755
671	123.020868
672	122.7576701
673	122.4314468
674	122.3615877
675	122.1183604
676	121.9971754
677	121.7594665
678	121.4662382
679	121.1696696
680	120.8491206
681	120.7220557
682	120.6345797
683	120.5659484
684	120.4321618
685	120.2565193
686	120.2366869
687	120.0514214
688	119.8029979
689	119.659818
690	119.3725383
691	119.1830625
692	118.9193106
693	118.8182854
694	118.3243396
695	118.1853533
696	118.15847
697	117.9035068
698	117.4676298
699	117.316684
700	117.0139626
701	116.9040346
702	116.8788877
703	116.8542215
704	116.5999097
705	116.3150889
706	116.0447386
707	115.8075147
708	115.7323756
709	115.5975295
710	115.5161418
711	115.4260557
712	115.3064086
713	115.0106683
714	114.9027862
715	114.6879255
716	114.4098748
717	114.3101142
718	114.0051258
719	113.9910869
720	113.9671947
721	113.9437596
722	113.5081324
723	113.2325843
724	112.9252657
725	112.6951718
726	112.3371824
727	112.157501
728	111.7368598
729	111.4313088
730	111.3898939
731	111.2385042
732	111.1667807
733	111.0466488
734	110.9332291
735	110.7563391
736	110.6313627
737	110.5216328
738	110.324354
739	110.1789781
740	110.1552289
741	109.8484418
742	109.5524383
743	109.4330354
744	109.2206063
745	108.953994
746	108.9308626
747	108.6663277
748	108.5897335
749	108.4614588
750	108.1649458
751	108.0571532
752	108.0252605
753	107.7598366
754	107.4709582
755	107.1924571
756	106.9619911
757	106.5752399
758	106.5526602
759	106.1659447
760	106.0114398
761	105.945988
762	105.5696635
763	105.4567935
764	105.3599558
765	105.2745655
766	105.2524043
767	105.0197489
768	104.7659622
769	104.6601607
770	104.6376081
771	104.5181935
772	104.4343789
773	104.3195406
774	104.2893518
775	104.1719001
776	104.0735892
777	104.0097241
778	103.8562301
779	103.5757351
780	103.5053873
781	103.3932767
782	103.2201479
783	103.1525882
784	102.8611798
785	102.7756021
786	102.5458956
787	102.4772569
788	102.3673049
789	102.258645
790	102.2367097
791	102.165565
792	101.9480573
793	101.7307675
794	101.6477779
795	101.5703915
796	101.2919027
797	101.2058502
798	101.144701
799	101.0859381
800	100.8725898
801	100.5301901
802	100.4752083
803	100.4009177
804	100.2916825
805	100.2172127
806	100.0506779
807	99.98611126
808	99.90044946
809	99.84071579
810	99.49350673
811	99.28660901
812	99.06561444
813	98.97210903
814	98.88725169
815	98.63392136
816	98.51533643
817	98.48997659
818	98.42944845
819	98.08586261
820	98.00723652
821	97.83528758
822	97.58226348
823	97.49101392
824	97.25941084
825	97.20606136
826	96.96313038
827	96.71843765
828	96.66092969
829	96.45146069
830	96.28367818
831	96.03807186
832	96.01781277
833	95.93547767
834	95.77331351
835	95.45309526
836	95.28533235
837	95.02750162
838	94.84540522
839	94.59790882
840	94.36624504
841	94.32266077
842	94.23773553
843	94.0163391
844	93.82585038
845	93.61938664
846	93.45189587
847	93.24312961
848	93.11676472
849	93.02665269
850	92.88666048
851	92.71673419
852	92.67440476
853	92.65447976
854	92.41877396
855	92.36204086
856	92.26572434
857	92.20569153
858	91.99372746
859	91.77030173
860	91.71130731
861	91.50878201
862	91.33767917
863	91.05341182
864	90.98660729
865	90.94804362
866	90.8569718
867	90.83908704
868	90.58022133
869	90.4724108
870	90.3923646
871	90.20054374
872	90.12438065
873	90.05410124
874	89.78766462
875	89.61441719
876	89.42592373
877	89.26255186
878	89.11130095
879	89.0328122
880	88.73700139
881	88.60160219
882	88.49991112
883	88.33116639
884	88.1292282
885	87.93106669
886	87.78475345
887	87.55191776
888	87.46522109
889	87.16801192
890	87.10486065
891	86.93618279
892	86.88776503
893	86.66038158
894	86.52285043
895	86.31497895
896	86.22827143
897	85.92400791
898	85.79090141
899	85.61209533
900	85.59205284
901	85.42784876
902	85.22198397
903	85.09361878
904	84.99503094
905	84.85085696
906	84.7878837
907	84.6929565
908	84.58790317
909	84.55427643
910	84.38368753
911	84.20649761
912	84.02602753
913	83.97561221
914	83.83566121
915	83.78574541
916	83.61231924
917	83.53064782
918	83.36047156
919	83.2825389
920	83.10453097
921	83.03735641
922	82.97824972
923	82.73449684
924	82.67368308
925	82.50864439
926	82.36564361
927	82.11025504
928	82.01030251
929	81.91539105
930	81.72835309
931	81.55661588
932	81.39142427
933	81.21161462
934	81.11982222
935	81.01716701
936	80.9228803
937	80.78335248
938	80.70024587
939	80.51102727
940	80.45166572
941	80.20083869
942	80.17696208
943	80.02104273
944	79.95842832
945	79.79174521
946	79.64598123
947	79.55168695
948	79.28883369
949	79.04876864
950	78.97631474
951	78.95868628
952	78.89607333
953	78.78777009
954	78.65626176
955	78.46133163
956	78.42044647
957	78.33197317
958	78.27316861
959	78.18903418
960	78.06861363
961	77.91427147
962	77.70905451
963	77.59551346
964	77.41547733
965	77.20026584
966	77.0083726
967	76.92759352
968	76.88756962
969	76.70521125
970	76.58435066
971	76.54663423
972	76.46977134
973	76.45306183
974	76.36831982
975	76.35188256
976	76.24087087
977	76.09923759
978	75.95892716
979	75.84033166
980	75.7295655
981	75.6790488
982	75.58126022
983	75.52134221
984	75.44017645
985	75.28569877
986	75.12655407
987	75.07961389
988	74.91042196
989	74.8515138
990	74.77455913
991	74.6517826
992	74.63453255
993	74.55174964
994	74.4547007
995	74.29446388
996	74.2287913
997	74.20304429
998	74.1839095
999	74.14993885
